"T_s","dp_Pa","T_K"
0.0,1.0483391922641174e11,353.15
5431.0344827586205,1.0483391922641174e11,353.14999999999725
10862.068965517241,1.089277801315982e11,353.1500000000299
16293.103448275862,1.1079423617247691e11,353.15000000001555
21724.137931034482,1.1189169066152875e11,353.15000000001004
27155.172413793105,1.1264353650669595e11,353.15000000001794
32586.206896551725,1.1321396627242245e11,353.15000000000947
38017.24137931035,1.1367541601439546e11,353.1500000000079
43448.275862068964,1.1406389979156662e11,353.15000000001
48879.31034482759,1.1439961123100716e11,353.1499999999987
54310.34482758621,1.1469511859667526e11,353.1500000000185
59741.379310344826,1.1495889119688495e11,353.149999999999
65172.41379310345,1.1519696720197842e11,353.1499999999984
70603.44827586207,1.154138256005496e11,353.1500000000111
76034.4827586207,1.1561288615243976e11,353.1500000000175
81465.5172413793,1.1579681846853131e11,353.1500000000227
86896.55172413793,1.1596774430408261e11,353.1500000000243
92327.58620689655,1.1612737567484433e11,353.1500000000346
97758.62068965517,1.1627711220872049e11,353.1500000000249
103189.6551724138,1.1641811150775473e11,353.15000000002414
108620.68965517242,1.1655134104256787e11,353.1500000000269
114051.72413793103,1.1667761708414627e11,353.15000000003715
119482.75862068965,1.1679763433036343e11,353.1500000000093
124913.79310344828,1.1691198873862521e11,353.15000000001487
130344.8275862069,1.1702119531728711e11,353.1500000000014
135775.8620689655,1.1712570213138419e11,353.14999999999065
141206.89655172414,1.1722590142815808e11,353.1499999999942
146637.93103448275,1.1732213855939185e11,353.14999999998565
152068.9655172414,1.1741471919092911e11,353.1499999999993
157500.0,1.1750391517939618e11,353.1499999999831
173250.0,1.1772433680879202e11,353.14999999997775
193565.21739130435,1.1798557553069836e11,353.1499999999793
213880.4347826087,1.1822728686992157e11,353.1500000000111
234195.65217391305,1.1844930975819482e11,353.15000000004244
254510.86956521738,1.1865457520398642e11,353.1500000000074
274826.0869565217,1.1884545177852222e11,353.15000000002334
295141.3043478261,1.1902387329413052e11,353.1500000000164
315456.52173913043,1.1919143442366458e11,353.15000000005944
335771.73913043475,1.1934946271201016e11,353.150000000039
356086.95652173914,1.1949907323684741e11,353.15000000000634
376402.17391304346,1.1964121046686478e11,353.1500000000116
396717.39130434784,1.1977668061877625e11,353.1499999999639
417032.60869565216,1.1990617690648268e11,353.14999999998366
437347.82608695654,1.2003029942698206e11,353.1499999999695
457663.04347826086,1.2014957095416824e11,353.14999999998764
477978.26086956525,1.2026444959500056e11,353.1499999999159
498293.47826086957,1.203753390074039e11,353.1499999998416
518608.6956521739,1.204825967088781e11,353.14999999962686
538923.9130434783,1.2058654088762766e11,353.1499999991324
559239.1304347826,1.2068745600280386e11,353.149999997891
579554.3478260869,1.2078559750833957e11,353.14999999509286
599869.5652173914,1.2088119566311801e11,353.14999998869854
620184.7826086957,1.2097445895293619e11,353.1499999748039
640500.0,1.210655767351623e11,353.1499999454881
660815.2173913043,1.2115472174365002e11,353.14999988570054
681130.4347826086,1.2124205187807062e11,353.1499997671499
701445.6521739131,1.2132771214527988e11,353.14999953845
721760.8695652174,1.2141183626389313e11,353.1499991089366
742076.0869565217,1.2149454746461514e11,353.1499983222175
762391.304347826,1.2157596037906711e11,353.1499969154063
782706.5217391305,1.2165618127005786e11,353.1499944566291
803021.7391304348,1.2173530930057928e11,353.14999025234414
823336.9565217391,1.218134374146735e11,353.1499832123391
843652.1739130435,1.2189065335458673e11,353.1499716583352
863967.3913043478,1.2196703827542511e11,353.1499530577862
884282.6086956522,1.2204267014189001e11,353.14992366159356
904597.8260869565,1.22117624230884e11,353.1498780222579
924913.0434782609,1.2219197068605887e11,353.1498083652956
945228.2608695652,1.2226577576454556e11,353.1497037860544
965543.4782608695,1.223391072388753e11,353.1495492447375
985858.695652174,1.2241202827889142e11,353.14932433368915
1.0061739130434783e6,1.2248460139206674e11,353.14900179683025
1.0264891304347826e6,1.2255689008777736e11,353.1485457869545
1.0468043478260869e6,1.2262895529370071e11,353.14790985902516
1.0671195652173914e6,1.2270086098802003e11,353.1470347081187
1.0874347826086956e6,1.2277267173634909e11,353.14584567949396
1.10775e6,1.2284445303065022e11,353.1442500926843
1.1280652173913044e6,1.2291627476404471e11,353.1421344437036
1.1483804347826086e6,1.2298820892985318e11,353.13936156548795
1.168695652173913e6,1.2306033215750595e11,353.13576784735574
1.1890108695652173e6,1.231327247248479e11,353.13116062692075
1.2093260869565217e6,1.2320547342645935e11,353.12531588041014
1.2296413043478262e6,1.2327867046427097e11,353.1179763434894
1.2499565217391304e6,1.2335241054696457e11,353.1088501939694
1.2702717391304348e6,1.2342680004416339e11,353.097610417676
1.290586956521739e6,1.2350194979343967e11,353.08389496795337
1.3109021739130435e6,1.235779731303056e11,353.06730780520496
1.331217391304348e6,1.2365499596625305e11,353.04742086712395
1.351532608695652e6,1.2373314646341458e11,353.0237769984137
1.3718478260869565e6,1.2381255786260678e11,352.9958938187923
1.392163043478261e6,1.2389337434590994e11,352.963268464883
1.4124782608695652e6,1.2397573662770816e11,352.92538312432123
1.4327934782608696e6,1.2405979660124643e11,352.8817112003265
1.4531086956521738e6,1.2414570804036264e11,352.83172395437094
1.4734239130434783e6,1.2423362373132513e11,352.7748974277594
1.4937391304347827e6,1.2432370589136426e11,352.7107194059129
1.514054347826087e6,1.2441611221963934e11,352.63869623379463
1.5343695652173914e6,1.245110017737645e11,352.5583592368411
1.5546847826086956e6,1.246085410619232e11,352.4692705308388
1.575e6,1.2470888388440323e11,352.3710280904117
